Number of atr,P_edge,Target assort,Target correlation,Calculated_corr,Time,Deviation_assort,Corr_type,Sheme,Mutation
5,0.05,0.2,"[0.07888987324543582, 0.17976332990526778, 0.12075238420524748]","[-0.23670404496397307, -0.08977152478209803, 0.976265042859187]",69,0.0,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.07888987324543582, 0.17976332990526778, 0.12075238420524748]","[0.05792100993203553, -0.307258743746652, 0.06458808071568571]",69,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.07888987324543582, 0.17976332990526778, 0.12075238420524748]","[0.05236460055856745, 0.028197805458886442, 0.18799350839237283]",69,0.1,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.07888987324543582, 0.17976332990526778, 0.12075238420524748]","[0.12836260015074163, 0.09410010697486772, 0.1887816779515063]",69,0.2,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.07888987324543582, 0.17976332990526778, 0.12075238420524748]","[0.11704665380992599, 0.33519156003081535, -0.015348901394592565]",69,0.49999999999999994,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.07888987324543582, 0.17976332990526778, 0.12075238420524748]","[0.19320008987250892, -0.24264962634378184, 0.16445044613466697]",39,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.07888987324543582, 0.17976332990526778, 0.12075238420524748]","[-0.04137013151160735, -0.21801181419206744, 0.05257755341110322]",39,0.09999999999999998,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.07888987324543582, 0.17976332990526778, 0.12075238420524748]","[-0.16186684705852702, -0.1935439025412408, 0.5177845421588436]",39,0.20000000000000007,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.9,"[0.07888987324543582, 0.17976332990526778, 0.12075238420524748]","[0.08966862346638071, -0.182389510359197, 0.2649130518233718]",39,0.9,low,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.8799892180672533, 0.7147983791375156, 0.8558176675222176]","[-0.1364950189605906, 0.06927911764645087, 0.9754491629451293]",103,0.0,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.8799892180672533, 0.7147983791375156, 0.8558176675222176]","[0.023987281356979133, 0.28837724181160757, 0.8165602206688601]",103,0.2,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
5,0.05,0.2,"[0.8799892180672533, 0.7147983791375156, 0.8558176675222176]","[-0.19771024251167113, 0.3753768933716707, 0.9301109965422353]",103,0.3,high,GeneticSchemeTypesEnum.steady_state,MutationAgentTypeEnum.default
