,dense,star,cycle,path,num edges,num nodes,avg degree,des cl,fact deg,fact cl,time
0,False,False,False,False,5,20,5,0.21,5.0,0.2102,0.11
1,True,False,False,False,5,20,5,0.21,5.0,0.209,0.14
2,False,True,False,False,5,20,5,0.21,5.0,0.2105,0.15
3,True,True,False,False,5,20,5,0.21,5.0,0.2036,1.03
4,False,False,False,True,5,20,5,0.21,5.0,0.2098,0.08
5,True,False,False,True,5,20,5,0.21,5.0,0.2063,0.87
6,False,True,False,True,5,20,5,0.21,5.0,0.2017,0.95
7,True,True,False,True,5,20,5,0.21,5.0,0.2077,0.94
8,False,False,True,False,5,20,5,0.21,5.0,0.2098,0.08
9,True,False,True,False,5,20,5,0.21,5.0,0.2143,0.9
10,False,True,True,False,5,20,5,0.21,5.0,0.2099,0.07
11,True,True,True,False,5,20,5,0.21,5.0,0.2167,0.87
12,False,False,True,True,5,20,5,0.21,5.0,0.2105,0.07
13,True,False,True,True,5,20,5,0.21,5.0,0.2113,0.86
14,False,True,True,True,5,20,5,0.21,5.0,0.217,0.08
15,True,True,True,True,5,20,5,0.21,5.0,0.2067,0.86
16,False,False,False,False,10,20,5,0.21,5.0,0.2099,0.11
17,True,False,False,False,10,20,5,0.21,5.0,0.2099,0.1
18,False,True,False,False,10,20,5,0.21,5.0,0.2109,0.07
19,True,True,False,False,10,20,5,0.21,5.0,0.2153,0.92
20,False,False,False,True,10,20,5,0.21,5.0,0.2107,0.09
21,True,False,False,True,10,20,5,0.21,5.0,0.21,0.07
22,False,True,False,True,10,20,5,0.21,5.0,0.2114,0.94
23,True,True,False,True,10,20,5,0.21,5.0,0.2158,0.09
24,False,False,True,False,10,20,5,0.21,5.0,0.2169,0.83
25,True,False,True,False,10,20,5,0.21,5.0,0.2101,0.08
26,False,True,True,False,10,20,5,0.21,5.0,0.206,0.84
27,True,True,True,False,10,20,5,0.21,5.0,0.2081,0.91
28,False,False,True,True,10,20,5,0.21,5.0,0.2106,0.08
29,True,False,True,True,10,20,5,0.21,5.0,0.2059,0.09
30,False,True,True,True,10,20,5,0.21,5.0,0.2107,0.07
31,True,True,True,True,10,20,5,0.21,5.0,0.211,0.07
32,False,False,False,False,5,20,5,0.26,5.0,0.2609,0.12
33,True,False,False,False,5,20,5,0.26,5.0,0.2598,0.08
34,False,True,False,False,5,20,5,0.26,5.0,0.2605,0.07
35,True,True,False,False,5,20,5,0.26,5.0,0.2544,1.09
36,False,False,False,True,5,20,5,0.26,5.0,0.2625,0.89
37,True,False,False,True,5,20,5,0.26,5.0,0.2602,0.07
38,False,True,False,True,5,20,5,0.26,5.0,0.2595,0.08
39,True,True,False,True,5,20,5,0.26,5.0,0.26,0.07
40,False,False,True,False,5,20,5,0.26,5.0,0.2579,0.84
41,True,False,True,False,5,20,5,0.26,5.0,0.2631,1.01
42,False,True,True,False,5,20,5,0.26,5.0,0.2603,0.07
43,True,True,True,False,5,20,5,0.26,5.0,0.2605,0.08
44,False,False,True,True,5,20,5,0.26,5.0,0.2617,0.66
45,True,False,True,True,5,20,5,0.26,5.0,0.2531,0.61
46,False,True,True,True,5,20,5,0.26,5.0,0.2602,0.1
47,True,True,True,True,5,20,5,0.26,5.0,0.2607,0.1
48,False,False,False,False,10,20,5,0.26,5.0,0.2597,0.17
49,True,False,False,False,10,20,5,0.26,5.0,0.2549,0.21
50,False,True,False,False,10,20,5,0.26,5.0,0.2549,0.67
51,True,True,False,False,10,20,5,0.26,5.0,0.2587,0.65
52,False,False,False,True,10,20,5,0.26,5.0,0.2574,0.73
53,True,False,False,True,10,20,5,0.26,5.0,0.2602,0.1
54,False,True,False,True,10,20,5,0.26,5.0,0.2668,0.16
55,True,True,False,True,10,20,5,0.26,5.0,0.2591,0.1
56,False,False,True,False,10,20,5,0.26,5.0,0.2549,0.8
57,True,False,True,False,10,20,5,0.26,5.0,0.2567,0.65
58,False,True,True,False,10,20,5,0.26,5.0,0.2559,0.66
59,True,True,True,False,10,20,5,0.26,5.0,0.2651,0.71
60,False,False,True,True,10,20,5,0.26,5.0,0.26,0.16
61,True,False,True,True,10,20,5,0.26,5.0,0.2638,0.65
62,False,True,True,True,10,20,5,0.26,5.0,0.2681,0.69
63,True,True,True,True,10,20,5,0.26,5.0,0.252,0.6
64,True,False,False,False,5,20,5,0.31,5.0,0.309,0.2
65,False,True,False,False,5,20,5,0.31,5.0,0.3158,0.63
66,True,True,False,False,5,20,5,0.31,5.0,0.3088,0.68
67,False,False,False,True,5,20,5,0.31,5.0,0.2954,0.16
68,True,False,False,True,5,20,5,0.31,5.0,0.3137,0.21
69,False,True,False,True,5,20,5,0.31,5.0,0.3156,0.68
70,True,True,False,True,5,20,5,0.31,5.0,0.3077,0.63
71,False,False,True,False,5,20,5,0.31,5.0,0.3035,0.77
72,True,False,True,False,5,20,5,0.31,5.0,0.3132,0.65
73,False,True,True,False,5,20,5,0.31,5.0,0.3183,0.67
74,True,True,True,False,5,20,5,0.31,5.0,0.309,0.16
75,False,False,True,True,5,20,5,0.31,5.0,0.306,0.65
76,True,False,True,True,5,20,5,0.31,5.0,0.308,0.63
77,False,True,True,True,5,20,5,0.31,5.0,0.3095,0.1
78,True,True,True,True,5,20,5,0.31,5.0,0.3085,0.66
79,True,False,False,False,10,20,5,0.31,5.0,0.3081,0.67
80,False,True,False,False,10,20,5,0.31,5.0,0.3029,0.71
81,True,True,False,False,10,20,5,0.31,5.0,0.3103,0.21
82,False,False,False,True,10,20,5,0.31,5.0,0.3072,0.66
83,True,False,False,True,10,20,5,0.31,5.0,0.3044,0.62
84,False,True,False,True,10,20,5,0.31,5.0,0.3052,0.68
85,True,True,False,True,10,20,5,0.31,5.0,0.3126,0.67
86,False,False,True,False,10,20,5,0.31,5.0,0.3106,0.22
87,True,False,True,False,10,20,5,0.31,5.0,0.3067,0.71
88,False,True,True,False,10,20,5,0.31,5.0,0.3154,0.63
89,True,True,True,False,10,20,5,0.31,5.0,0.3018,0.65
90,False,False,True,True,10,20,5,0.31,5.0,0.3079,0.69
91,True,False,True,True,10,20,5,0.31,5.0,0.3105,0.1
92,False,True,True,True,10,20,5,0.31,5.0,0.3135,0.63
93,True,True,True,True,10,20,5,0.31,5.0,0.3106,0.1
94,False,True,False,False,5,20,5,0.36,5.0,0.3352,0.7
95,True,True,False,False,5,20,5,0.36,5.0,0.3251,0.71
96,False,False,False,True,5,20,5,0.36,5.0,0.3667,0.67
97,True,False,False,True,5,20,5,0.36,5.0,0.3482,0.21
